SD		PD		SD+PD
616896		1717		86969
97222		15143		67871
184218		23858		151672
181441		24046		86967
184638		24190		617983
627675		26387		168773
291699		41363		74684
51958		41498		99282
56599		41639		74271
641913		41654		83140
74166		43244		82836
261396		43994		618514
44650		50096		83088
105197		63326		247282
184639		63336		185432
104509		63403		617561
191388		63428		89171
153904		63692		168770
237004		65387		168766
608026		65395		157552
291695		65423		68055
608716		65865		602516
189032		65919		65913
645263		65921		65879
618713		65923		99287
624539		67081		618965
81186		67342		151637
105206		67712		618809
44432		69264		185467
161279		69287		99288
67406		71730		96010
618498		71731		99286
102958		72260		83054
75716		72618		89198
644115		73485		618916
614504		74122		75859
633003		74246		82696
161918		74270		168767
186445		74368		67105
645513		74401		290510
180607		75893		89170
57864		78453		104514
97212		78456		151663
80278		80716		75694
611870		80720		81160
291811		82070		66497
189033		83092		75860
196272		83211		618369
203120		84513		619086
259578		85259		618750
105907		85391		89182
671447		85393		616530
33819		85394		99289
613771		85396		619102
181439		87093		67854
77414		89194		83070
635423		96674		611658
643172		96778		74132
104229		97066		619128
618108		97102		89169
197020		100193		657329
91024		104822		151669
104556		130023		75743
108755		151668		87288
161915		151898		89167
75714		153880		183514
186391		160315		82833
59472		160627		202873
605379		161789		251846
161916		161913		
57865		164065		
645279		165983		
196888		169743		
181442		173908		
237005		173918		
291692		181483		
189028		183119		
104695		191248		
41986		192249		
182331		192781		
108010		197134		
635621		202190		
67636		236296		
102207		237698		
105579		239116		
192214		239393		
169971		254472		
108680		261540		
81178		261544		
638675		281412		
653292		281413		
102839		281728		
105983		291054		
618377		409530		
193980		421388		
196899		426369		
92883		426417		
169556		602372		
197757		602373		
241438		602384		
635421		602519		
44644		602525		
92385		612699		
640204		615212		
191042		618304		
184646		625638		
108016		628435		
613642		639830		
184666		640018		
409466		642165		
606040		644325		
79037		651263		
192306		657328		
89181		657331		
184641		657554		
162823		657555		
108341		657556		
74111				
637920				
189025				
186657				
104693				
246433				
181437				
105228				
614832				
648638				
105079				
74155				
102028				
77223				
291694				
97219				
193610				
181533				
640569				
606027				
191390				
166382				
184634				
41810				
97221				
291424				
150654				
82339				
58827				
196889				
291925				
107717				
77553				
75718				
639037				
186653				
97210				
261841				
196898				
15790				
106190				
78626				
189035				
609358				
647817				
181436				
180606				
161914				
105702				
74167				
108164				
184640				
87976				
69936				
92384				
651574				
189034				
186658				
291697				
198210				
191391				
671446				
67810				
104536				
248697				
196836				
644439				
68893				
640895				
105081				
192303				
628836				
104438				
659391				
186392				
617689				
72249				
192296				
104022				
105080				
648639				
193597				
653019				
608019				
180604				
617054				
108135				
97213				
184635				
609356				
59560				
173902				
83923				
616773				
181444				
53567				
72248				
108628				
644273				
640828				
291085				
92378				
674810				
52462				
161919				
192307				
59555				
618775				
105101				
251015				
196575				
625996				
645153				
253417				
74110				
645246				
74114				
611863				
259579				
671448				
69481				
57853				
195011				
75780				
161917				
72230				
640787				
104744				
75717				
635420				
97220				
83921				
69484				
92882				
181819				
616698				
640555				
291812				
104724				
166383				
198760				
180104				
106124				
59466				
191392				
291809				
82335				
192305				
246432				
163548				
166381				
166390				
161920				
650143				
648840				
192304				
189277				
182595				
79061				
259577				
108126				
710023				
43981				
612010				
259488				
653296				
78216				
105074				
58501				
191389				
612025				
196983				
640562				
104725				
645157				
44575				
291808				
104729				
40515				
191387				
191041				
246536				
58829				
612246				
633011				
606044				
645148				
192308				
618235				
153099				
629112				
189031				
604720				
106148				
167966				
291700				
72213				
648506				
641557				
59464				
105697				
59556				
180544				
259507				
105102				
203119				
58462				
634056				
104276				
181435				
186655				
80277				
248787				
606021				
641011				
75813				
104280				
104219				
192129				
181440				
186393				
97214				
106145				
105723				
74257				
605669				
72267				
612206				
72266				
181438				
653267				
108566				
104567				
75715				
247616				
189030				
186654				
184647				
186656				
650868				
105148				
653269				
66051				
107988				
97211				
104166				
246434				
72265				
44436				
78872				
192298				
196699				
184636				
103963				
648371				
645243				
616772				
416365				
78635				
